# Ossuary rating table — generated by tools/FetchCodexData, do not edit
# snapshot	v26
# data_through	2026-08-25T16:34:38.319000
# total_runs	1416903
kind	bracket	character	id	score	win_rate	pick_rate	picks	tier
cards	all	all	MEMENTO_MORI	36	38.8	8.5	19641	C
cards	all	all	METEOR_SHOWER	40	40.2	25	14201	C
cards	all	all	METEOR_STRIKE	67	48.4	13.5	17067	A
cards	all	all	MIDNIGHT	100	65.3	50.1	3921	S
cards	all	all	MIMIC	100	63.4	7.6	8536	S
cards	all	all	MIND_BLAST	67	48.3	4.9	9215	A
cards	all	all	MIRAGE	47	42.3	16.9	30632	B
cards	all	all	MISERY	80	52.1	38.5	37701	A
cards	all	all	MODDED	52	43.8	46.2	38758	B
cards	all	all	MOLTEN_FIST	41	40.5	31.2	125088	C
cards	all	all	MOMENTUM_STRIKE	14	32.3	13.2	55693	D
cards	all	all	MONARCHS_GAZE	62	46.8	21	13875	B
cards	all	all	MONOLOGUE	36	38.9	17	24150	C
cards	all	all	MULTI_CAST	46	41.9	17.5	18005	B
cards	all	all	MURDER	63	47.2	15.5	19208	B
cards	all	all	NECRO_MASTERY	70	49.3	34.3	30960	A
cards	all	all	NEGATIVE_PULSE	21	34.5	31	105312	D
cards	all	all	NEUROSURGE	90	55	40.8	32256	S
cards	all	all	NEUTRALIZE	0	25	25	315694	F
cards	all	all	NEUTRON_AEGIS	57	45.2	21.4	18203	B
cards	all	all	NIGHTMARE	58	45.5	22.6	19979	B
cards	all	all	NOSTALGIA	100	58.4	4.2	9366	S
cards	all	all	NOT_YET	67	48.4	33.4	32326	A
cards	all	all	NOXIOUS_FUMES	39	39.9	35.6	74255	C
cards	all	all	NO_ESCAPE	41	40.6	40.1	51130	C
cards	all	all	NULL	35	38.8	16.3	28838	C
cards	all	all	OBLIVION	71	49.4	36.6	32809	A
cards	all	all	OFFERING	78	51.5	50.8	44715	A
cards	all	all	OMNISLICE	46	42	8.4	19384	B
cards	all	all	ONE_FOR_ALL	100	59.8	37.3	3140	S
cards	all	all	ONE_TWO_PUNCH	48	42.6	33.2	29633	B
cards	all	all	ORBIT	38	39.6	37.8	44846	C
cards	all	all	OUTBREAK	44	41.5	19.3	52673	C
cards	all	all	OUTRAGE	60	46.4	18.8	2763	B
cards	all	all	OVERCLOCK	40	40.2	33.7	43878	C
cards	all	all	PACTS_END	64	47.5	22.6	24133	B
cards	all	all	PAGESTORM	57	45.3	12.7	21325	B
cards	all	all	PALE_BLUE_DOT	67	48.3	9.8	20254	A
cards	all	all	PANACHE	75	50.6	11.1	25370	A
cards	all	all	PANIC_BUTTON	78	51.5	2.3	7682	A
cards	all	all	PARRY	44	41.4	24.9	48110	C
cards	all	all	PARSE	68	48.4	19.2	30953	A
cards	all	all	PARTICLE_WALL	47	42.4	33	50383	B
cards	all	all	PATTER	37	39.3	20.3	56447	C
cards	all	all	PERFECTED_STRIKE	13	31.9	23	73801	D
cards	all	all	PHANTOM_BLADES	59	45.8	26.6	53000	B
cards	all	all	PHOTON_CUT	24	35.4	10	37518	D
cards	all	all	PIERCING_WAIL	56	44.9	34.8	159896	B
cards	all	all	PILLAGE	51	43.5	18.2	38945	B
cards	all	all	PILLAR_OF_CREATION	58	45.7	17.6	34230	B
cards	all	all	PINPOINT	40	40.1	12.9	30235	C
cards	all	all	PLOT	100	60.4	28.1	3540	S
cards	all	all	POISONED_STAB	24	35.2	14.7	72900	D
cards	all	all	POKE	28	36.6	19.1	81079	D
cards	all	all	POMMEL_STRIKE	18	33.5	36	112481	D
cards	all	all	POUNCE	32	37.7	11.3	26578	C
cards	all	all	PRECISE_CUT	41	40.6	9.6	25347	C
cards	all	all	PREDATOR	31	37.6	6.2	25952	C
cards	all	all	PREPARED	33	38.2	42.4	142646	C
cards	all	all	PREP_TIME	57	45.3	6.7	13619	B
cards	all	all	PRIMAL_FORCE	37	39.2	14.7	16219	C
cards	all	all	PRODUCTION	68	48.6	21.6	39800	A
cards	all	all	PROLONG	61	46.4	10.8	15653	B
cards	all	all	PROPHESIZE	69	48.8	8.5	14148	A
cards	all	all	PROTECTOR	0	25.1	0	7984	F
cards	all	all	PROWESS	44	41.2	14.1	16938	C
cards	all	all	PULL_AGGRO	23	35.1	15.8	63646	D
cards	all	all	PULL_FROM_BELOW	44	41.3	13.1	18684	C
cards	all	all	PURITY	88	54.5	7.2	16076	A
cards	all	all	PUTREFY	60	46.2	31.2	45869	B
cards	all	all	PYRE	25	35.5	56.3	31600	D
cards	all	all	QUADCAST	0	23.3	27.3	7357	F
cards	all	all	QUASAR	37	39.2	21	24761	C
cards	all	all	RADIATE	45	41.5	23.3	38002	B
cards	all	all	RAGE	31	37.5	33	57238	C
cards	all	all	RAINBOW	40	40.1	18.6	15794	C
cards	all	all	RALLY	100	65.2	10	11592	S
cards	all	all	RAMPAGE	14	32.2	18.3	29553	D
cards	all	all	RATTLE	34	38.3	17.8	29048	C
cards	all	all	REANIMATE	72	49.9	33.7	27201	A
cards	all	all	REAP	18	33.6	8.5	35590	D
cards	all	all	REAPER_FORM	59	46	42.1	30384	B
cards	all	all	REAVE	21	34.4	13.5	54186	D
cards	all	all	REBOOT	72	49.9	31.2	28849	A
cards	all	all	REFINE_BLADE	32	37.7	24.3	86639	C
cards	all	all	REFLECT	44	41.3	44.1	63652	C
cards	all	all	REFLEX	53	44	26.2	40079	B
cards	all	all	REFRACT	19	33.7	13.1	25253	D
cards	all	all	REND	100	63.4	1.3	3904	S
cards	all	all	RESONANCE	41	40.5	17.1	23524	C
cards	all	all	RESTLESSNESS	73	49.9	6.6	14145	A
cards	all	all	RICOCHET	29	36.9	14.9	76873	C
cards	all	all	RIGHT_HAND_HAND	48	42.6	20.6	37657	B
cards	all	all	ROCKET_PUNCH	34	38.4	16.9	24027	C
cards	all	all	ROLLING_BOULDER	83	53.1	4.7	13985	A
cards	all	all	ROYALTIES	59	46	21	21907	B
cards	all	all	ROYAL_GAMBLE	46	42.1	36.8	45366	B
cards	all	all	RUPTURE	28	36.5	23.8	46478	D
cards	all	all	SACRIFICE	52	43.8	11.8	10479	B
cards	all	all	SALVO	100	62.8	2	7768	S
cards	all	all	SCARE	40	40.1	20.5	17833	C
cards	all	all	SCAVENGE	44	41.3	24.8	28095	C
cards	all	all	SCOURGE	20	34.1	22	70035	D
